alpha,year,long_count,short_count,pnl,sharpe,fitness,returns,draw_down,turn_over,margin
open/vwap,2015,1425,1469,774K,1.09,0.34,7.74%,1.74%,80.88%,1.90bpm
open/vwap,2016,1443,1459,-411K,-0.55,-0.12,-4.11%,6.99%,80.34%,-1.01bpm
open/vwap,2017,1428,1483,-168K,-3.53,-1.78,-20.21%,1.38%,79.62%,-5.04bpm
open/vwap,2012-2017,1439,1468,694K,0.20,0.03,1.41%,8.23%,80.25%,0.35bpm
vwap/open,2012,1459,1449,-351K,-0.82,-0.19,-4.18%,3.27%,79.86%,-1.04bpm
vwap/open,2013,1447,1471,-463K,-1.02,-0.24,-4.63%,2.98%,80.21%,-1.15bpm
vwap/open,2014,1454,1458,-472K,-0.72,-0.17,-4.72%,6.58%,80.30%,-1.17bpm
vwap/open,2015,1450,1445,-772K,-1.15,-0.35,-7.72%,5.22%,81.01%,-1.89bpm
vwap/open,2016,1440,1462,494K,0.65,0.16,4.94%,4.98%,80.41%,1.22bpm
vwap/open,2017,1466,1445,163K,3.56,1.76,19.54%,0.36%,79.80%,4.86bpm
vwap/open,2012-2017,1450,1457,-1.40M,-0.46,-0.09,-2.85%,13.43%,80.36%,-0.70bpm
vwap + high,2012,1118,1791,44.9K,0.09,0.04,0.53%,2.79%,2.49%,4.26bpm
vwap + high,2013,1126,1793,-885K,-1.89,-4.36,-8.85%,4.24%,1.66%,-105.74bpm
vwap + high,2014,1131,1781,622K,1.01,1.86,6.22%,1.66%,1.85%,66.66bpm
vwap + high,2015,1104,1790,809K,1.11,2.19,8.09%,2.25%,2.08%,77.33bpm
vwap + high,2016,1090,1812,-1.10M,-1.30,-3.35,-10.96%,9.48%,1.66%,-131.01bpm
vwap + high,2017,1073,1838,67.8K,1.40,3.36,8.14%,0.39%,1.41%,114.69bpm
vwap + high,2012-2017,1113,1794,-437K,-0.13,-0.09,-0.89%,9.58%,1.92%,-9.18bpm
vwap - high,2012,1804,1104,279K,0.68,0.23,3.31%,1.62%,28.96%,2.27bpm
vwap - high,2013,1808,1110,248K,0.63,0.18,2.48%,1.48%,29.04%,1.69bpm
vwap - high,2014,1809,1103,-112K,-0.21,-0.04,-1.12%,4.03%,28.08%,-0.79bpm
vwap - high,2015,1806,1089,-254K,-0.42,-0.13,-2.54%,3.73%,27.82%,-1.81bpm
vwap - high,2016,1817,1085,900K,1.53,0.87,9.00%,2.37%,27.96%,6.38bpm
vwap - high,2017,1834,1076,-32.5K,-0.94,-0.35,-3.90%,0.84%,28.34%,-2.73bpm
vwap - high,2012-2017,1809,1098,1.03M,0.40,0.11,2.09%,6.58%,28.35%,1.46bpm
vwap * high,2012,865,2043,-425K,-0.68,-0.91,-5.05%,5.28%,2.83%,-35.47bpm
vwap * high,2013,883,2035,-1.04M,-1.71,-4.06,-10.39%,5.83%,1.85%,-111.51bpm
vwap * high,2014,872,2040,386K,0.62,0.83,3.86%,2.10%,2.15%,35.55bpm
vwap * high,2015,842,2052,1.02M,1.38,2.81,10.21%,2.31%,2.47%,81.85bpm
vwap * high,2016,832,2070,-1.01M,-1.23,-3.03,-10.14%,8.99%,1.67%,-120.54bpm
vwap * high,2017,824,2087,63.4K,1.26,2.63,7.60%,0.51%,1.74%,86.79bpm
vwap * high,2012-2017,858,2049,-1.01M,-0.29,-0.28,-2.05%,11.33%,2.17%,-18.75bpm
high/vwap,2012,1203,1705,-584K,-0.85,-0.32,-6.94%,7.49%,48.08%,-2.86bpm
high/vwap,2013,1192,1726,1.17M,1.68,0.83,11.68%,2.08%,47.53%,4.88bpm
high/vwap,2014,1191,1722,-1.81M,-1.31,-0.83,-18.12%,12.91%,44.85%,-8.02bpm
high/vwap,2015,1175,1720,-886K,-0.82,-0.36,-8.86%,7.32%,46.55%,-3.78bpm
high/vwap,2016,1190,1712,1.18M,0.89,0.45,11.83%,5.43%,46.04%,5.10bpm
high/vwap,2017,1222,1688,-66.1K,-0.89,-0.36,-7.93%,1.32%,46.75%,-3.37bpm
high/vwap,2012-2017,1190,1717,-997K,-0.18,-0.04,-2.03%,20.39%,46.57%,-0.86bpm
vwap/high,2012,1697,1211,515K,0.78,0.28,6.13%,3.44%,47.86%,2.54bpm
vwap/high,2013,1719,1200,-1.17M,-1.71,-0.85,-11.73%,6.52%,47.35%,-4.92bpm
vwap/high,2014,1713,1200,1.31M,1.12,0.61,13.10%,3.65%,44.58%,5.83bpm
vwap/high,2015,1711,1184,937K,0.89,0.40,9.37%,3.23%,46.29%,4.02bpm
vwap/high,2016,1702,1200,-1.19M,-0.91,-0.46,-11.90%,11.78%,45.77%,-5.16bpm
vwap/high,2017,1682,1229,57.8K,0.78,0.30,6.94%,0.67%,46.57%,2.96bpm
vwap/high,2012-2017,1708,1199,457K,0.09,0.01,0.93%,12.27%,46.32%,0.40bpm
vwap + low,2012,1117,1791,49.3K,0.10,0.05,0.59%,2.79%,2.49%,4.67bpm
vwap + low,2013,1126,1792,-890K,-1.89,-4.38,-8.90%,4.26%,1.66%,-106.41bpm
vwap + low,2014,1131,1782,627K,1.02,1.87,6.27%,1.66%,1.85%,67.19bpm
vwap + low,2015,1104,1791,814K,1.11,2.20,8.14%,2.25%,2.08%,77.54bpm
vwap + low,2016,1089,1813,-1.10M,-1.30,-3.34,-10.95%,9.49%,1.66%,-130.70bpm
vwap + low,2017,1074,1837,68.1K,1.40,3.38,8.17%,0.39%,1.40%,115.63bpm
vwap + low,2012-2017,1113,1795,-427K,-0.13,-0.09,-0.87%,9.59%,1.92%,-8.95bpm
vwap - low,2012,1108,1801,-462K,-1.13,-0.49,-5.49%,3.74%,29.31%,-3.72bpm
vwap - low,2013,1114,1804,-563K,-1.45,-0.63,-5.63%,2.74%,29.76%,-3.75bpm
vwap - low,2014,1107,1805,-24.2K,-0.04,0.00,-0.24%,2.85%,28.07%,-0.17bpm
vwap - low,2015,1090,1804,115K,0.18,0.04,1.15%,3.02%,27.88%,0.82bpm
vwap - low,2016,1087,1815,-984K,-1.67,-0.99,-9.84%,7.60%,28.21%,-6.93bpm
vwap - low,2017,1068,1843,34.9K,1.00,0.38,4.19%,0.23%,28.99%,2.86bpm
vwap - low,2012-2017,1100,1807,-1.88M,-0.71,-0.26,-3.82%,11.50%,28.63%,-2.65bpm
vwap * low,2012,865,2044,-418K,-0.67,-0.89,-4.97%,5.25%,2.83%,-34.84bpm
vwap * low,2013,883,2035,-1.04M,-1.71,-4.06,-10.40%,5.84%,1.85%,-111.57bpm
vwap * low,2014,872,2041,400K,0.65,0.88,4.00%,2.09%,2.15%,36.98bpm
vwap * low,2015,842,2053,1.02M,1.39,2.82,10.23%,2.30%,2.48%,81.67bpm
vwap * low,2016,831,2071,-1.01M,-1.23,-3.01,-10.11%,8.98%,1.67%,-119.87bpm
vwap * low,2017,823,2088,63.8K,1.26,2.66,7.66%,0.51%,1.73%,87.73bpm
vwap * low,2012-2017,858,2049,-982K,-0.28,-0.27,-2.00%,11.31%,2.17%,-18.25bpm
low/vwap,2012,1699,1209,1.14M,1.86,0.96,13.54%,2.79%,50.37%,5.33bpm
low/vwap,2013,1717,1202,-408K,-0.61,-0.17,-4.08%,4.29%,50.18%,-1.61bpm
low/vwap,2014,1710,1202,1.43M,1.30,0.72,14.30%,2.88%,46.83%,6.06bpm
low/vwap,2015,1706,1189,1.51M,1.59,0.89,15.11%,2.71%,48.36%,6.20bpm
low/vwap,2016,1701,1201,-822K,-0.66,-0.27,-8.22%,10.63%,47.73%,-3.42bpm
low/vwap,2017,1693,1218,36.5K,0.63,0.19,4.38%,0.54%,48.81%,1.78bpm
low/vwap,2012-2017,1706,1201,2.89M,0.60,0.21,5.86%,10.65%,48.64%,2.39bpm
vwap/low,2012,1200,1708,-1.23M,-1.94,-1.04,-14.62%,9.83%,50.58%,-5.74bpm
vwap/low,2013,1193,1725,335K,0.48,0.12,3.35%,2.27%,50.38%,1.32bpm
vwap/low,2014,1193,1719,-1.53M,-1.33,-0.76,-15.30%,11.59%,47.06%,-6.45bpm
vwap/low,2015,1179,1716,-1.60M,-1.65,-0.94,-15.96%,8.90%,48.73%,-6.50bpm
vwap/low,2016,1191,1711,756K,0.60,0.24,7.56%,5.72%,48.00%,3.13bpm
vwap/low,2017,1209,1702,-36.6K,-0.63,-0.19,-4.39%,1.00%,49.00%,-1.78bpm
vwap/low,2012-2017,1191,1716,-3.30M,-0.67,-0.25,-6.70%,26.78%,48.90%,-2.72bpm
vwap + volume,2012,889,2020,287K,0.52,0.24,3.41%,2.30%,16.56%,4.09bpm
vwap + volume,2013,906,2012,-172K,-0.33,-0.11,-1.72%,2.96%,16.66%,-2.05bpm
vwap + volume,2014,921,1992,-318K,-0.38,-0.16,-3.18%,4.77%,17.17%,-3.68bpm
vwap + volume,2015,913,1982,-301K,-0.48,-0.20,-3.01%,3.31%,16.57%,-3.60bpm
vwap + volume,2016,903,1999,305K,0.45,0.20,3.05%,2.68%,15.94%,3.79bpm
vwap + volume,2017,919,1991,152K,3.86,4.12,18.19%,0.45%,15.94%,22.63bpm
vwap + volume,2012-2017,907,2000,-47.8K,-0.01,0.00,-0.10%,6.69%,16.57%,-0.12bpm
vwap - volume,2012,2020,889,-287K,-0.52,-0.24,-3.41%,2.88%,16.56%,-4.09bpm
vwap - volume,2013,2012,906,172K,0.33,0.11,1.72%,1.71%,16.66%,2.05bpm
vwap - volume,2014,1992,921,318K,0.38,0.16,3.18%,4.21%,17.17%,3.68bpm
vwap - volume,2015,1982,913,301K,0.48,0.20,3.01%,1.42%,16.57%,3.60bpm
vwap - volume,2016,1999,903,-305K,-0.45,-0.20,-3.05%,3.36%,15.94%,-3.79bpm
vwap - volume,2017,1991,919,-152K,-3.86,-4.12,-18.19%,0.67%,15.94%,-22.63bpm
vwap - volume,2012-2017,2000,907,47.8K,0.01,0.00,0.10%,4.33%,16.57%,0.12bpm
vwap * volume,2012,870,2038,243K,0.44,0.20,2.89%,2.67%,14.27%,4.02bpm
vwap * volume,2013,881,2037,-872K,-1.51,-1.18,-8.72%,4.64%,14.36%,-12.06bpm
vwap * volume,2014,896,2017,771K,1.02,0.75,7.71%,2.27%,14.33%,10.68bpm
vwap * volume,2015,887,2007,593K,0.75,0.49,5.93%,2.90%,14.19%,8.29bpm
vwap * volume,2016,885,2017,-870K,-1.04,-0.83,-8.70%,8.51%,13.70%,-12.61bpm
vwap * volume,2017,887,2024,120K,1.98,2.02,14.37%,0.41%,13.91%,20.50bpm
vwap * volume,2012-2017,884,2023,-15.2K,0.00,0.00,-0.03%,8.55%,14.16%,-0.04bpm
volume/vwap,2012,794,2114,1.07M,0.95,0.80,12.66%,4.90%,17.75%,14.15bpm
volume/vwap,2013,807,2111,109K,0.12,0.03,1.09%,4.05%,17.79%,1.21bpm
volume/vwap,2014,808,2104,-1.89M,-1.26,-1.28,-18.90%,15.82%,18.31%,-20.48bpm
volume/vwap,2015,809,2086,-266K,-0.16,-0.06,-2.66%,7.48%,17.87%,-2.95bpm
volume/vwap,2016,797,2105,963K,0.46,0.35,9.63%,10.02%,16.47%,11.60bpm
volume/vwap,2017,784,2127,157K,3.01,3.33,18.84%,0.74%,15.36%,24.33bpm
volume/vwap,2012-2017,803,2104,138K,0.02,0.00,0.28%,18.89%,17.60%,0.32bpm
vwap/volume,2012,786,2122,-834K,-1.50,-1.09,-9.92%,5.84%,18.99%,-10.36bpm
vwap/volume,2013,807,2111,-854K,-1.77,-1.23,-8.54%,5.29%,17.75%,-9.55bpm
vwap/volume,2014,841,2072,208K,0.39,0.15,2.08%,1.87%,14.73%,2.80bpm
vwap/volume,2015,836,2059,22.8K,0.03,0.00,0.23%,2.48%,17.61%,0.26bpm
vwap/volume,2016,824,2078,397K,0.48,0.24,3.97%,5.39%,15.43%,5.11bpm
vwap/volume,2017,805,2106,-408K,-7.54,-14.02,-48.97%,2.07%,14.17%,-68.58bpm
vwap/volume,2012-2017,819,2088,-1.47M,-0.46,-0.19,-2.98%,11.08%,16.79%,-3.52bpm
vwap + returns,2012,1117,1791,45.8K,0.09,0.04,0.54%,2.79%,2.49%,4.33bpm
vwap + returns,2013,1126,1792,-889K,-1.89,-4.37,-8.89%,4.26%,1.67%,-105.75bpm
vwap + returns,2014,1131,1781,623K,1.01,1.85,6.23%,1.66%,1.86%,66.45bpm
vwap + returns,2015,1104,1790,813K,1.11,2.20,8.13%,2.25%,2.09%,77.33bpm
vwap + returns,2016,1090,1812,-1.10M,-1.30,-3.34,-10.97%,9.49%,1.67%,-130.43bpm
vwap + returns,2017,1073,1838,68.0K,1.40,3.36,8.16%,0.39%,1.41%,114.59bpm
vwap + returns,2012-2017,1113,1794,-437K,-0.13,-0.09,-0.89%,9.59%,1.93%,-9.13bpm
vwap - returns,2012,1117,1791,46.3K,0.09,0.04,0.55%,2.79%,2.49%,4.40bpm
vwap - returns,2013,1126,1792,-889K,-1.89,-4.38,-8.89%,4.26%,1.66%,-106.20bpm
vwap - returns,2014,1131,1781,623K,1.01,1.86,6.23%,1.66%,1.85%,66.76bpm
vwap - returns,2015,1104,1790,814K,1.11,2.20,8.14%,2.25%,2.08%,77.61bpm
vwap - returns,2016,1090,1812,-1.10M,-1.30,-3.35,-10.97%,9.49%,1.66%,-130.92bpm
vwap - returns,2017,1073,1838,67.9K,1.40,3.36,8.15%,0.39%,1.41%,114.89bpm
vwap - returns,2012-2017,1113,1794,-435K,-0.13,-0.09,-0.88%,9.59%,1.92%,-9.11bpm
vwap * returns,2012,1418,1490,-899K,-2.66,-0.95,-10.69%,5.07%,82.93%,-2.56bpm
vwap * returns,2013,1370,1549,-897K,-2.33,-0.77,-8.97%,4.57%,81.84%,-2.17bpm
vwap * returns,2014,1395,1517,-1.04M,-1.31,-0.47,-10.40%,7.91%,81.77%,-2.52bpm
vwap * returns,2015,1404,1490,-1.33M,-2.34,-0.93,-13.30%,7.19%,83.86%,-3.15bpm
vwap * returns,2016,1406,1496,-973K,-2.08,-0.71,-9.73%,5.76%,82.72%,-2.33bpm
vwap * returns,2017,1388,1523,112K,5.20,2.06,13.39%,0.20%,85.54%,3.10bpm
vwap * returns,2012-2017,1398,1509,-5.03M,-1.87,-0.66,-10.21%,27.12%,82.66%,-2.45bpm
returns/vwap,2012,1477,1431,1.39M,1.27,0.57,16.50%,5.49%,82.82%,3.95bpm
returns/vwap,2013,1405,1513,1.34M,1.27,0.51,13.45%,2.90%,82.89%,3.22bpm
returns/vwap,2014,1464,1448,-1.84M,-1.25,-0.59,-18.42%,16.09%,83.50%,-4.38bpm
returns/vwap,2015,1482,1413,-1.09M,-0.77,-0.28,-10.91%,8.03%,82.99%,-2.61bpm
returns/vwap,2016,1436,1466,2.71M,1.47,0.84,27.08%,8.62%,82.44%,6.52bpm
returns/vwap,2017,1468,1443,251K,2.87,1.73,30.13%,1.03%,83.19%,7.19bpm
returns/vwap,2012-2017,1452,1455,2.76M,0.39,0.10,5.60%,20.83%,82.94%,1.34bpm
vwap/returns,2012,1431,1425,535K,0.97,0.28,6.36%,3.03%,79.08%,1.60bpm
vwap/returns,2013,1412,1455,998K,2.12,0.76,9.98%,1.18%,78.60%,2.52bpm
vwap/returns,2014,1406,1460,-45.5K,-0.09,-0.01,-0.46%,2.09%,78.91%,-0.11bpm
vwap/returns,2015,1426,1429,107K,0.24,0.03,1.07%,1.84%,77.97%,0.27bpm
vwap/returns,2016,1418,1437,249K,0.58,0.10,2.49%,1.96%,78.35%,0.63bpm
vwap/returns,2017,1408,1429,85.4K,3.58,1.30,10.25%,0.34%,77.95%,2.61bpm
vwap/returns,2012-2017,1418,1442,1.93M,0.78,0.17,3.92%,3.17%,78.55%,0.99bpm
vwap + adv20,2012,896,2012,257K,0.50,0.48,3.05%,2.72%,3.37%,17.99bpm
vwap + adv20,2013,915,2003,-11.7K,-0.02,0.00,-0.12%,2.23%,2.96%,-0.78bpm
vwap + adv20,2014,929,1984,34.8K,0.06,0.02,0.35%,2.96%,3.31%,2.08bpm
vwap + adv20,2015,919,1975,24.1K,0.04,0.01,0.24%,2.11%,3.32%,1.44bpm
vwap + adv20,2016,914,1988,451K,0.72,0.88,4.51%,1.74%,3.03%,29.51bpm
vwap + adv20,2017,931,1980,195K,5.21,15.05,23.38%,0.36%,2.80%,165.83bpm
vwap + adv20,2012-2017,916,1991,950K,0.33,0.26,1.93%,4.54%,3.19%,12.01bpm
vwap - adv20,2012,2012,896,-257K,-0.50,-0.48,-3.05%,3.47%,3.37%,-17.99bpm
vwap - adv20,2013,2003,915,11.7K,0.02,0.00,0.12%,1.92%,2.96%,0.78bpm
vwap - adv20,2014,1984,929,-34.7K,-0.06,-0.02,-0.35%,4.40%,3.31%,-2.08bpm
vwap - adv20,2015,1975,919,-24.1K,-0.04,-0.01,-0.24%,2.56%,3.32%,-1.44bpm
vwap - adv20,2016,1988,914,-451K,-0.72,-0.88,-4.51%,3.84%,3.03%,-29.52bpm
vwap - adv20,2017,1980,931,-195K,-5.21,-15.05,-23.38%,0.75%,2.80%,-165.83bpm
vwap - adv20,2012-2017,1991,916,-950K,-0.33,-0.26,-1.93%,6.06%,3.19%,-12.01bpm
vwap * adv20,2012,877,2031,261K,0.47,0.44,3.10%,2.89%,3.49%,17.64bpm
vwap * adv20,2013,889,2029,-1.00M,-1.81,-3.49,-10.04%,5.30%,2.69%,-74.01bpm
vwap * adv20,2014,903,2010,714K,0.96,1.52,7.14%,2.36%,2.86%,49.47bpm
vwap * adv20,2015,896,1998,790K,0.99,1.63,7.90%,2.20%,2.91%,53.83bpm
vwap * adv20,2016,895,2007,-728K,-0.88,-1.45,-7.28%,7.85%,2.69%,-53.64bpm
vwap * adv20,2017,894,2017,189K,3.11,9.45,22.68%,0.41%,2.46%,182.82bpm
vwap * adv20,2012-2017,893,2014,221K,0.06,0.02,0.45%,9.21%,2.90%,3.07bpm
adv20/vwap,2012,796,2112,898K,0.96,1.48,10.67%,5.99%,4.50%,47.05bpm
adv20/vwap,2013,813,2105,917K,1.14,1.77,9.17%,2.69%,3.83%,47.48bpm
adv20/vwap,2014,811,2101,-1.41M,-1.21,-2.10,-14.07%,11.89%,4.67%,-59.86bpm
adv20/vwap,2015,813,2082,220K,0.16,0.10,2.20%,6.21%,5.41%,8.06bpm
adv20/vwap,2016,804,2098,1.07M,0.54,0.86,10.69%,8.54%,4.30%,49.31bpm
adv20/vwap,2017,796,2115,187K,3.78,9.96,22.46%,0.63%,3.24%,137.43bpm
adv20/vwap,2012-2017,808,2099,1.88M,0.29,0.26,3.82%,13.89%,4.52%,16.78bpm
vwap/adv20,2012,803,2105,-387K,-0.70,-0.70,-4.60%,4.48%,4.64%,-19.68bpm
vwap/adv20,2013,826,2092,-629K,-1.28,-1.62,-6.29%,4.59%,3.97%,-31.39bpm
vwap/adv20,2014,851,2062,227K,0.42,0.29,2.27%,1.83%,4.86%,9.28bpm
vwap/adv20,2015,844,2050,30.7K,0.05,0.01,0.31%,2.90%,7.14%,0.85bpm
vwap/adv20,2016,835,2067,400K,0.49,0.44,4.00%,5.05%,4.91%,16.16bpm
vwap/adv20,2017,813,2097,-316K,-6.32,-21.91,-37.97%,1.58%,3.16%,-238.62bpm
vwap/adv20,2012-2017,832,2075,-674K,-0.21,-0.11,-1.37%,8.54%,5.09%,-5.34bpm
vwap + sharesout,2012,926,1981,191K,0.39,0.51,2.27%,2.13%,1.31%,34.29bpm
vwap + sharesout,2013,922,1996,-711K,-1.30,-3.79,-7.11%,4.83%,0.84%,-167.81bpm
vwap + sharesout,2014,932,1980,-247K,-0.32,-0.54,-2.47%,3.25%,0.85%,-57.37bpm
vwap + sharesout,2015,930,1964,355K,0.55,1.00,3.55%,2.13%,1.07%,65.90bpm
vwap + sharesout,2016,939,1963,-734K,-1.03,-3.19,-7.34%,6.36%,0.77%,-189.38bpm
vwap + sharesout,2017,960,1950,178K,2.56,16.33,21.39%,0.49%,0.53%,804.37bpm
vwap + sharesout,2012-2017,930,1976,-968K,-0.30,-0.43,-1.97%,8.48%,0.95%,-41.02bpm
vwap - sharesout,2012,1965,942,-185K,-0.41,-0.54,-2.20%,2.16%,1.29%,-33.95bpm
vwap - sharesout,2013,1965,953,558K,1.12,2.95,5.58%,1.89%,0.81%,136.91bpm
vwap - sharesout,2014,1937,976,379K,0.55,1.18,3.79%,4.02%,0.81%,92.75bpm
vwap - sharesout,2015,1910,985,-186K,-0.33,-0.45,-1.86%,2.68%,1.02%,-36.19bpm
vwap - sharesout,2016,1919,983,521K,0.83,2.22,5.21%,1.87%,0.72%,142.85bpm
vwap - sharesout,2017,1898,1012,-164K,-2.67,-17.03,-19.71%,1.17%,0.48%,-807.69bpm
vwap - sharesout,2012-2017,1938,969,922K,0.32,0.45,1.87%,4.02%,0.91%,40.76bpm
vwap * sharesout,2012,858,2050,312K,0.56,0.80,3.71%,3.25%,1.84%,40.02bpm
vwap * sharesout,2013,852,2066,-1.37M,-2.24,-8.03,-13.75%,6.80%,1.07%,-255.95bpm
vwap * sharesout,2014,857,2055,319K,0.35,0.60,3.19%,3.09%,1.11%,56.83bpm
vwap * sharesout,2015,841,2053,752K,0.89,2.15,7.52%,2.94%,1.29%,115.52bpm
vwap * sharesout,2016,844,2058,-919K,-0.91,-2.65,-9.19%,10.60%,1.09%,-167.19bpm
vwap * sharesout,2017,854,2057,62.8K,0.87,2.55,7.54%,0.63%,0.88%,170.89bpm
vwap * sharesout,2012-2017,850,2057,-848K,-0.21,-0.24,-1.72%,12.51%,1.26%,-27.23bpm
sharesout/vwap,2012,836,2071,822K,1.22,2.58,9.78%,2.84%,2.18%,88.84bpm
sharesout/vwap,2013,841,2077,438K,0.70,1.16,4.38%,1.94%,1.59%,54.65bpm
