alpha,year,long_count,short_count,pnl,sharpe,fitness,returns,draw_down,turn_over,margin
assets / cashflow_op,2014,1200.0,1429.0,-1.30M,-1.21,-2.44,-12.96%,8.47%,3.21%,-80.14bpm
assets / cashflow_op,2015,1133.0,1483.0,183K,0.35,0.26,1.83%,1.93%,3.27%,11.14bpm
assets / cashflow_op,2016,1192.0,1439.0,684K,0.99,1.31,6.84%,3.50%,3.91%,34.74bpm
assets / cashflow_op,2017,1254.0,1375.0,-15.6K,-0.19,-0.13,-1.35%,0.81%,2.71%,-9.89bpm
assets / cashflow_op,2012-2017,1204.0,1428.0,-283K,-0.08,-0.03,-0.57%,8.99%,3.50%,-3.25bpm
cogs / assets,2012,1085.0,1589.0,321K,1.21,1.36,3.98%,1.08%,3.15%,25.06bpm
cogs / assets,2013,1075.0,1607.0,550K,1.77,2.71,5.50%,0.72%,2.34%,46.63bpm
cogs / assets,2014,1052.0,1618.0,338K,1.01,1.15,3.38%,2.02%,2.59%,25.90bpm
cogs / assets,2015,1038.0,1619.0,410K,1.22,1.51,4.10%,1.13%,2.64%,30.77bpm
cogs / assets,2016,1069.0,1606.0,826K,2.46,4.63,8.26%,0.85%,2.32%,70.53bpm
cogs / assets,2017,1089.0,1582.0,-55.8K,-1.94,-3.4,-4.85%,0.35%,1.58%,-60.83bpm
cogs / assets,2012-2017,1064.0,1608.0,2.39M,1.48,2.03,4.85%,2.02%,2.56%,37.56bpm
assets / cogs,2012,1012.0,1638.0,-269K,-0.57,-0.48,-3.34%,4.02%,4.83%,-13.74bpm
assets / cogs,2013,1001.0,1650.0,56.7K,0.08,0.03,0.57%,4.11%,4.59%,2.45bpm
assets / cogs,2014,1004.0,1629.0,-1.20M,-1.34,-2.19,-12.00%,7.33%,4.53%,-52.60bpm
assets / cogs,2015,985.0,1627.0,-44.0K,-0.09,-0.03,-0.44%,3.50%,3.62%,-2.41bpm
assets / cogs,2016,987.0,1649.0,494K,0.78,0.93,4.94%,2.23%,3.49%,28.12bpm
assets / cogs,2017,935.0,1697.0,-117K,-1.91,-2.7,-10.13%,1.14%,5.06%,-39.75bpm
assets / cogs,2012-2017,996.0,1640.0,-1.08M,-0.32,-0.23,-2.19%,12.34%,4.20%,-10.35bpm
current_ratio / assets,2012,663.0,1458.0,-767K,-1.12,-1.62,-9.52%,7.77%,4.50%,-41.93bpm
current_ratio / assets,2013,665.0,1451.0,1.08M,0.79,1.25,10.83%,4.51%,4.35%,49.36bpm
current_ratio / assets,2014,664.0,1448.0,-2.35M,-1.52,-3.21,-23.46%,21.88%,5.26%,-88.42bpm
current_ratio / assets,2015,666.0,1403.0,-1.64M,-1.28,-2.43,-16.41%,9.00%,4.56%,-71.43bpm
current_ratio / assets,2016,662.0,1375.0,-1.78M,-1.62,-3.38,-17.82%,10.88%,4.09%,-86.44bpm
current_ratio / assets,2017,654.0,1392.0,-329K,-4.18,-15.05,-28.59%,1.54%,2.21%,-257.21bpm
current_ratio / assets,2012-2017,664.0,1425.0,-5.78M,-0.94,-1.51,-11.75%,35.48%,4.50%,-51.80bpm
assets / current_ratio,2012,616.0,1504.0,-163K,-0.35,-0.29,-2.03%,3.06%,2.91%,-13.79bpm
assets / current_ratio,2013,616.0,1499.0,-1.17M,-1.83,-4.16,-11.73%,6.30%,2.27%,-102.66bpm
assets / current_ratio,2014,636.0,1474.0,677K,0.77,1.34,6.77%,3.06%,2.23%,60.25bpm
assets / current_ratio,2015,613.0,1455.0,655K,0.88,1.39,6.55%,2.33%,2.60%,49.88bpm
assets / current_ratio,2016,603.0,1434.0,-907K,-1.21,-2.34,-9.07%,8.46%,2.41%,-74.57bpm
assets / current_ratio,2017,604.0,1442.0,-26.8K,-0.32,-0.46,-2.33%,0.73%,1.17%,-39.63bpm
assets / current_ratio,2012-2017,617.0,1471.0,-939K,-0.26,-0.23,-1.91%,11.40%,2.44%,-15.53bpm
debt / assets,2012,1061.0,1325.0,276K,1.12,1.03,3.42%,1.30%,4.11%,16.50bpm
debt / assets,2013,1049.0,1334.0,198K,0.71,0.57,1.98%,1.43%,3.14%,12.52bpm
debt / assets,2014,1058.0,1303.0,-404K,-1.07,-1.18,-4.04%,3.53%,3.29%,-24.37bpm
debt / assets,2015,1074.0,1272.0,-278K,-0.76,-0.67,-2.78%,3.89%,3.53%,-15.65bpm
debt / assets,2016,1084.0,1273.0,464K,1.06,1.29,4.64%,1.49%,3.09%,29.74bpm
debt / assets,2017,1081.0,1267.0,102K,2.88,6.13,8.84%,0.24%,1.95%,90.10bpm
debt / assets,2012-2017,1066.0,1300.0,357K,0.2,0.09,0.73%,5.95%,3.37%,4.27bpm
assets / debt,2012,544.0,1455.0,817K,0.98,1.2,10.15%,5.16%,6.78%,29.68bpm
assets / debt,2013,559.0,1444.0,-494K,-0.55,-0.52,-4.94%,6.99%,5.49%,-17.84bpm
assets / debt,2014,560.0,1438.0,507K,0.42,0.44,5.07%,5.99%,4.53%,22.23bpm
assets / debt,2015,580.0,1418.0,-1.85M,-1.65,-2.73,-18.54%,11.63%,6.75%,-54.52bpm
assets / debt,2016,596.0,1458.0,28.6K,0.03,0.01,0.29%,4.13%,6.00%,0.95bpm
assets / debt,2017,558.0,1499.0,21.9K,0.16,0.16,1.90%,1.64%,1.96%,19.31bpm
assets / debt,2012-2017,569.0,1443.0,-972K,-0.19,-0.11,-1.98%,12.90%,5.78%,-6.78bpm
debt_lt / assets,2012,1133.0,1502.0,355K,1.49,1.74,4.40%,1.38%,3.22%,27.15bpm
debt_lt / assets,2013,1127.0,1512.0,342K,1.28,1.56,3.42%,1.30%,2.30%,29.46bpm
debt_lt / assets,2014,1140.0,1489.0,-267K,-0.79,-0.81,-2.67%,2.83%,2.50%,-21.16bpm
debt_lt / assets,2015,1166.0,1451.0,-246K,-0.72,-0.67,-2.46%,3.53%,2.79%,-17.45bpm
debt_lt / assets,2016,1170.0,1463.0,501K,1.14,1.65,5.01%,1.79%,2.38%,41.77bpm
debt_lt / assets,2017,1150.0,1484.0,128K,3.92,10.39,11.15%,0.22%,1.59%,139.39bpm
debt_lt / assets,2012-2017,1148.0,1483.0,813K,0.48,0.38,1.65%,5.25%,2.59%,12.66bpm
assets / debt_lt,2012,565.0,1566.0,-594K,-0.68,-0.65,-7.37%,6.28%,8.08%,-18.10bpm
assets / debt_lt,2013,589.0,1572.0,-1.01M,-1.24,-2.07,-10.07%,5.45%,3.59%,-55.60bpm
assets / debt_lt,2014,609.0,1559.0,-2.15M,-1.82,-4.19,-21.52%,14.35%,4.07%,-104.86bpm
assets / debt_lt,2015,638.0,1553.0,-58.2K,-0.05,-0.02,-0.58%,4.33%,6.48%,-1.78bpm
assets / debt_lt,2016,634.0,1623.0,-426K,-0.37,-0.34,-4.26%,5.39%,5.23%,-16.14bpm
assets / debt_lt,2017,611.0,1653.0,-99.0K,-1.02,-2.24,-8.61%,1.56%,1.80%,-94.71bpm
assets / debt_lt,2012-2017,609.0,1577.0,-4.34M,-0.82,-1.05,-8.81%,25.39%,5.30%,-32.97bpm
debt_st / assets,2012,796.0,1587.0,-125K,-0.45,-0.27,-1.56%,2.09%,4.19%,-7.37bpm
debt_st / assets,2013,792.0,1573.0,-182K,-0.41,-0.28,-1.82%,3.34%,3.71%,-9.71bpm
debt_st / assets,2014,762.0,1592.0,-225K,-0.58,-0.45,-2.25%,3.40%,3.71%,-12.03bpm
debt_st / assets,2015,770.0,1569.0,-340K,-1.08,-0.97,-3.40%,2.60%,4.16%,-16.20bpm
debt_st / assets,2016,782.0,1568.0,-189K,-0.54,-0.4,-1.89%,2.60%,3.50%,-10.71bpm
debt_st / assets,2017,766.0,1572.0,-86.9K,-2.55,-4.69,-7.55%,0.90%,2.22%,-67.41bpm
debt_st / assets,2012-2017,780.0,1577.0,-1.15M,-0.63,-0.49,-2.33%,6.67%,3.81%,-12.17bpm
assets / debt_st,2012,434.0,1269.0,1.44M,2.54,4.53,17.86%,1.84%,5.63%,62.93bpm
assets / debt_st,2013,415.0,1287.0,926K,1.4,2.08,9.26%,2.04%,4.19%,43.84bpm
assets / debt_st,2014,422.0,1254.0,635K,1.11,1.34,6.35%,1.20%,4.36%,28.89bpm
assets / debt_st,2015,445.0,1234.0,-246K,-0.44,-0.34,-2.46%,3.79%,4.02%,-12.17bpm
assets / debt_st,2016,444.0,1280.0,654K,0.98,1.22,6.54%,2.00%,4.17%,31.10bpm
assets / debt_st,2017,437.0,1264.0,-187K,-3.18,-8.17,-16.24%,1.04%,2.45%,-131.43bpm
assets / debt_st,2012-2017,432.0,1265.0,3.22M,1.03,1.26,6.55%,3.79%,4.38%,29.64bpm
depre_amort / assets,2012,972.0,1337.0,179K,0.7,0.5,2.23%,1.14%,4.40%,10.04bpm
depre_amort / assets,2013,989.0,1308.0,150K,0.52,0.34,1.50%,1.77%,3.53%,8.44bpm
depre_amort / assets,2014,961.0,1318.0,356K,1.11,1.1,3.56%,2.22%,3.63%,19.49bpm
depre_amort / assets,2015,948.0,1325.0,216K,0.56,0.41,2.16%,1.71%,3.99%,10.72bpm
depre_amort / assets,2016,959.0,1317.0,-63.1K,-0.18,-0.08,-0.63%,2.39%,3.24%,-3.86bpm
depre_amort / assets,2017,981.0,1340.0,78.3K,1.88,3.64,6.80%,0.51%,1.81%,74.69bpm
depre_amort / assets,2012-2017,966.0,1321.0,917K,0.56,0.39,1.86%,2.39%,3.69%,10.02bpm
assets / depre_amort,2012,841.0,1430.0,-448K,-0.66,-0.56,-5.56%,5.53%,7.59%,-14.55bpm
assets / depre_amort,2013,842.0,1411.0,484K,0.47,0.41,4.84%,5.92%,6.30%,15.26bpm
assets / depre_amort,2014,838.0,1399.0,164K,0.18,0.1,1.64%,6.43%,5.71%,5.70bpm
assets / depre_amort,2015,818.0,1412.0,46.4K,0.04,0.01,0.46%,5.54%,6.15%,1.50bpm
assets / depre_amort,2016,818.0,1413.0,-764K,-0.81,-0.9,-7.64%,5.67%,6.12%,-24.79bpm
assets / depre_amort,2017,810.0,1466.0,-58.9K,-0.26,-0.28,-5.12%,3.68%,4.48%,-22.67bpm
assets / depre_amort,2012-2017,830.0,1414.0,-576K,-0.12,-0.05,-1.17%,10.40%,6.28%,-3.70bpm
EBIT / assets,2012,1298.0,1399.0,263K,0.47,0.45,3.27%,2.88%,3.55%,18.26bpm
EBIT / assets,2013,1312.0,1391.0,-239K,-0.36,-0.31,-2.39%,3.02%,3.11%,-15.24bpm
EBIT / assets,2014,1350.0,1342.0,558K,0.52,0.68,5.58%,4.11%,3.25%,34.03bpm
EBIT / assets,2015,1338.0,1339.0,738K,0.82,1.14,7.38%,4.58%,3.83%,38.26bpm
EBIT / assets,2016,1349.0,1347.0,1.02M,0.77,1.22,10.16%,5.89%,4.01%,50.27bpm
EBIT / assets,2017,1339.0,1351.0,-310K,-4.33,-18.46,-26.98%,1.41%,1.49%,-360.39bpm
EBIT / assets,2012-2017,1331.0,1362.0,2.03M,0.43,0.46,4.12%,7.90%,3.50%,23.32bpm
assets / EBIT,2012,1215.0,1481.0,115K,0.18,0.12,1.43%,4.79%,3.12%,9.11bpm
assets / EBIT,2013,1225.0,1475.0,-340K,-0.4,-0.43,-3.40%,4.54%,2.90%,-23.25bpm
assets / EBIT,2014,1214.0,1477.0,377K,0.63,0.7,3.77%,1.38%,3.12%,23.97bpm
assets / EBIT,2015,1189.0,1487.0,-259K,-0.38,-0.31,-2.59%,4.82%,3.98%,-12.90bpm
assets / EBIT,2016,1292.0,1404.0,1.15M,1.65,3.8,11.53%,1.80%,2.17%,105.28bpm
assets / EBIT,2017,1309.0,1380.0,268K,5.06,23.25,23.25%,0.24%,1.10%,419.42bpm
assets / EBIT,2012-2017,1229.0,1462.0,1.31M,0.37,0.35,2.67%,7.16%,3.01%,17.59bpm
EBITDA / assets,2012,1235.0,1315.0,337K,0.61,0.65,4.19%,2.68%,3.72%,22.32bpm
EBITDA / assets,2013,1239.0,1301.0,-177K,-0.27,-0.19,-1.77%,3.05%,3.33%,-10.57bpm
EBITDA / assets,2014,1263.0,1255.0,630K,0.59,0.79,6.30%,4.10%,3.45%,36.30bpm
EBITDA / assets,2015,1248.0,1254.0,715K,0.82,1.09,7.15%,4.54%,4.02%,35.25bpm
EBITDA / assets,2016,1262.0,1253.0,1.34M,1.02,1.83,13.40%,5.72%,4.13%,64.36bpm
EBITDA / assets,2017,1278.0,1243.0,-306K,-4.33,-17.74,-26.61%,1.41%,1.59%,-332.44bpm
EBITDA / assets,2012-2017,1251.0,1273.0,2.54M,0.54,0.64,5.16%,7.41%,3.68%,27.82bpm
assets / EBITDA,2012,1147.0,1401.0,34.8K,0.05,0.02,0.43%,4.46%,3.45%,2.48bpm
assets / EBITDA,2013,1188.0,1350.0,-2.02M,-1.91,-4.91,-20.22%,12.33%,3.05%,-131.51bpm
assets / EBITDA,2014,1164.0,1353.0,-265K,-0.3,-0.24,-2.65%,6.04%,3.97%,-13.24bpm
assets / EBITDA,2015,1058.0,1442.0,-497K,-0.5,-0.51,-4.97%,3.86%,4.93%,-19.99bpm
assets / EBITDA,2016,1127.0,1387.0,1.46M,1.16,2.44,14.64%,4.34%,3.32%,87.39bpm
assets / EBITDA,2017,1153.0,1368.0,-25.4K,-0.3,-0.35,-2.20%,0.84%,1.67%,-26.15bpm
assets / EBITDA,2012-2017,1137.0,1386.0,-1.31M,-0.26,-0.22,-2.66%,20.36%,3.71%,-14.25bpm
employee / assets,2012,1011.0,1563.0,-124K,-0.31,-0.21,-1.54%,3.47%,3.23%,-9.44bpm
employee / assets,2013,973.0,1548.0,222K,0.48,0.42,2.22%,1.16%,2.86%,15.43bpm
